category_label,n_obs,long_run_effect,aic,bic
Communication,13,0.03490681742354616,196.86357290183022,200.25326904659946
Expanditure Abroad of Residents,15,-0.001694887213115073,228.8563371193204,233.10463832593365
Expanditure of Non Residents,15,-5.056546339548501e-05,230.75508117833925,235.00338238495252
Recreation & Entertainment,21,0.0008837702110764871,258.70924695381484,264.97638158015536
Transport,21,4.001710940850793e-05,260.90814790833906,267.1752825346796
Restuarants & Hotels,21,3.469287976747074e-05,271.10153292636943,277.36866755270995
Cloathing & Footwear,21,0.0005327503598263791,287.20746628431704,293.47460091065756
Health,21,0.0006774818439022502,300.2595964665283,306.52673109286883
Education,21,0.001133694919771525,302.50365735031204,308.77079197665256
Household Equipments & Services,21,-0.002708344319152004,305.86405731548865,312.1311919418292
Miscellaneous Goods & Services,21,0.0001107747416146621,306.9392120577617,313.20634668410224
Housing & Utility Service,21,0.00033937964132913417,307.0262235619024,313.2933581882429
Food & Beverages,36,0.0007537650676547376,501.4700091350081,510.9711227657448
